"","SL","TL","SIZE","TRANS_ACC","TRANS_KAPPA","TRANS_EN_ACC","TRANS_EN_KAPPA","ORIG_ACC","ORIG_KAPPA"
"1","DE","DA",1400,81.54,0.63,77.84,0.67,71.19,0.42
"2","EL","DA",212,90.36,0.81,77.29,0.66,73.66,0.47
"3","ES","DA",564,72.2,0.44,69.72,0.55,70.06,0.4
"4","FI","DA",23,66.14,0.32,57.34,0.36,66.62,0.33
"5","FR","DA",1399,73.03,0.46,67.6,0.51,73.36,0.47
"6","IT","DA",664,79.09,0.58,78.88,0.68,75.13,0.5
"7","NL","DA",530,70.57,0.41,71.64,0.57,70.68,0.41
"8","PT","DA",513,84.49,0.69,82.34,0.74,75.27,0.51
"9","SV","DA",280,68.19,0.36,65.29,0.48,72.5,0.45
"10","DA","DE",84,63.56,0.27,59.04,0.39,71.15,0.42
"11","EL","DE",217,89.81,0.8,76.6,0.65,72.91,0.46
"12","ES","DE",545,70.05,0.4,68.28,0.52,70.41,0.41
"13","FI","DE",23,58.36,0.17,57.94,0.37,66.19,0.32
"14","FR","DE",1316,77.36,0.55,70.37,0.56,74.04,0.48
"15","IT","DE",650,81.37,0.63,80.95,0.71,74.64,0.49
"16","NL","DE",505,76.74,0.53,70.91,0.56,70.84,0.42
"17","PT","DE",520,81.35,0.63,77.87,0.67,75.81,0.52
"18","SV","DE",271,68.92,0.38,66,0.49,73.1,0.46
